elements,time,sum,technique,block_size,thread_duty
"1000000","0.167","1.644725","multiplySeq","0","0"
"1000000","0.079","1.644725","multiplyCuda","0","0"
"1000000","0.05","1.644725","multiplyCuda","0","0"
"1000000","0.042","1.644725","multiplyCuda","0","0"
"1000000","0.04","1.644725","multiplyCuda","0","0"
"1000000","0.04","1.644725","multiplyCuda","0","0"
"1000000","0.04","1.644725","multiplyCuda","0","0"
"1000000","0.042","1.644725","multiplyCuda","0","0"
"1000000","0.04","1.644725","multiplyCuda","0","0"
"1000000","0.043","1.644725","multiplyCuda","0","0"
"1000000","0.046","1.644725","multiplyCuda","0","0"
"1000000","0.054","1.644725","multiplyCuda","0","0"
"1000000","0.059","1.644725","multiplyCuda","0","0"
"1000000","0.051","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.04","1.644725","multiplyCuda","0","0"
"1000000","0.042","1.644725","multiplyCuda","0","0"
"1000000","0.046","1.644725","multiplyCuda","0","0"
"1000000","0.053","1.644725","multiplyCuda","0","0"
"1000000","0.06","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.04","1.644725","multiplyCuda","0","0"
"1000000","0.043","1.644725","multiplyCuda","0","0"
"1000000","0.047","1.644725","multiplyCuda","0","0"
"1000000","0.053","1.644725","multiplyCuda","0","0"
"1000000","0.059","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.041","1.644725","multiplyCuda","0","0"
"1000000","0.043","1.644725","multiplyCuda","0","0"
"1000000","0.046","1.644725","multiplyCuda","0","0"
"1000000","0.053","1.644725","multiplyCuda","0","0"
"1000000","0.06","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.043","1.644725","multiplyCuda","0","0"
"1000000","0.047","1.644725","multiplyCuda","0","0"
"1000000","0.054","1.644725","multiplyCuda","0","0"
"1000000","0.063","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.04","1.644725","multiplyCuda","0","0"
"1000000","0.038","1.644725","multiplyCuda","0","0"
"1000000","0.039","1.644725","multiplyCuda","0","0"
"1000000","0.04","1.644725","multiplyCuda","0","0"
"1000000","0.044","1.644725","multiplyCuda","0","0"
"1000000","0.049","1.644725","multiplyCuda","0","0"
"1000000","0.056","1.644725","multiplyCuda","0","0"
"1000000","0.065","1.644725","multiplyCuda","0","0"
"10000000","2.154","1.644725","multiplySeq","0","0"
"10000000","0.172","1.644725","multiplyCuda","0","0"
"10000000","0.172","1.644725","multiplyCuda","0","0"
"10000000","0.171","1.644725","multiplyCuda","0","0"
"10000000","0.171","1.644725","multiplyCuda","0","0"
"10000000","0.169","1.644725","multiplyCuda","0","0"
"10000000","0.166","1.644725","multiplyCuda","0","0"
"10000000","0.171","1.644725","multiplyCuda","0","0"
"10000000","0.173","1.644725","multiplyCuda","0","0"
"10000000","0.195","1.644725","multiplyCuda","0","0"
"10000000","0.171","1.644725","multiplyCuda","0","0"
"10000000","0.201","1.644725","multiplyCuda","0","0"
"10000000","0.173","1.644725","multiplyCuda","0","0"
"10000000","0.186","1.644725","multiplyCuda","0","0"
"10000000","0.186","1.644725","multiplyCuda","0","0"
"10000000","0.163","1.644725","multiplyCuda","0","0"
"10000000","0.164","1.644725","multiplyCuda","0","0"
"10000000","0.164","1.644725","multiplyCuda","0","0"
"10000000","0.175","1.644725","multiplyCuda","0","0"
"10000000","0.168","1.644725","multiplyCuda","0","0"
"10000000","0.166","1.644725","multiplyCuda","0","0"
"10000000","0.172","1.644725","multiplyCuda","0","0"
"10000000","0.164","1.644725","multiplyCuda","0","0"
"10000000","0.181","1.644725","multiplyCuda","0","0"
"10000000","0.17","1.644725","multiplyCuda","0","0"
"10000000","0.208","1.644725","multiplyCuda","0","0"
"10000000","0.164","1.644725","multiplyCuda","0","0"
"10000000","0.164","1.644725","multiplyCuda","0","0"
"10000000","0.166","1.644725","multiplyCuda","0","0"
"10000000","0.168","1.644725","multiplyCuda","0","0"
"10000000","0.173","1.644725","multiplyCuda","0","0"
"10000000","0.169","1.644725","multiplyCuda","0","0"
"10000000","0.166","1.644725","multiplyCuda","0","0"
"10000000","0.169","1.644725","multiplyCuda","0","0"
"10000000","0.181","1.644725","multiplyCuda","0","0"
"10000000","0.179","1.644725","multiplyCuda","0","0"
"10000000","0.174","1.644725","multiplyCuda","0","0"
"10000000","0.167","1.644725","multiplyCuda","0","0"
"10000000","0.169","1.644725","multiplyCuda","0","0"
"10000000","0.165","1.644725","multiplyCuda","0","0"
"10000000","0.169","1.644725","multiplyCuda","0","0"
"10000000","0.165","1.644725","multiplyCuda","0","0"
"10000000","0.169","1.644725","multiplyCuda","0","0"
"10000000","0.168","1.644725","multiplyCuda","0","0"
"10000000","0.181","1.644725","multiplyCuda","0","0"
"10000000","0.171","1.644725","multiplyCuda","0","0"
"10000000","0.176","1.644725","multiplyCuda","0","0"
"10000000","0.183","1.644725","multiplyCuda","0","0"
"10000000","0.17","1.644725","multiplyCuda","0","0"
"10000000","0.168","1.644725","multiplyCuda","0","0"
"10000000","0.167","1.644725","multiplyCuda","0","0"
"10000000","0.164","1.644725","multiplyCuda","0","0"
"10000000","0.169","1.644725","multiplyCuda","0","0"
"10000000","0.165","1.644725","multiplyCuda","0","0"
"10000000","0.171","1.644725","multiplyCuda","0","0"
"10000000","0.169","1.644725","multiplyCuda","0","0"
"10000000","0.172","1.644725","multiplyCuda","0","0"
"10000000","0.174","1.644725","multiplyCuda","0","0"
"10000000","0.17","1.644725","multiplyCuda","0","0"
"10000000","0.183","1.644725","multiplyCuda","0","0"
"10000000","0.17","1.644725","multiplyCuda","0","0"
"10000000","0.168","1.644725","multiplyCuda","0","0"
"10000000","0.167","1.644725","multiplyCuda","0","0"
"10000000","0.165","1.644725","multiplyCuda","0","0"
"10000000","0.169","1.644725","multiplyCuda","0","0"
"10000000","0.165","1.644725","multiplyCuda","0","0"
"10000000","0.167","1.644725","multiplyCuda","0","0"
"10000000","0.17","1.644725","multiplyCuda","0","0"
"10000000","0.168","1.644725","multiplyCuda","0","0"
"10000000","0.173","1.644725","multiplyCuda","0","0"
"10000000","0.17","1.644725","multiplyCuda","0","0"
"10000000","0.183","1.644725","multiplyCuda","0","0"
"10000000","0.17","1.644725","multiplyCuda","0","0"
"100000000","37.798","1.644725","multiplySeq","0","0"
"100000000","1.761","1.644725","multiplyCuda","0","0"
"100000000","1.759","1.644725","multiplyCuda","0","0"
"100000000","1.76","1.644725","multiplyCuda","0","0"
"100000000","1.759","1.644725","multiplyCuda","0","0"
"100000000","1.76","1.644725","multiplyCuda","0","0"
"100000000","1.76","1.644725","multiplyCuda","0","0"
"100000000","1.762","1.644725","multiplyCuda","0","0"
"100000000","1.76","1.644725","multiplyCuda","0","0"
"100000000","1.763","1.644725","multiplyCuda","0","0"
"100000000","1.762","1.644725","multiplyCuda","0","0"
"100000000","1.762","1.644725","multiplyCuda","0","0"
"100000000","1.517","1.644725","multiplyCuda","0","0"
"100000000","1.496","1.644725","multiplyCuda","0","0"
"100000000","1.496","1.644725","multiplyCuda","0","0"
"100000000","1.495","1.644725","multiplyCuda","0","0"
"100000000","1.826","1.644725","multiplyCuda","0","0"
"100000000","1.496","1.644725","multiplyCuda","0","0"
"100000000","1.495","1.644725","multiplyCuda","0","0"
"100000000","1.496","1.644725","multiplyCuda","0","0"
"100000000","1.494","1.644725","multiplyCuda","0","0"
"100000000","1.496","1.644725","multiplyCuda","0","0"
"100000000","1.45","1.644725","multiplyCuda","0","0"
"100000000","1.514","1.644725","multiplyCuda","0","0"
"100000000","1.494","1.644725","multiplyCuda","0","0"
"100000000","1.447","1.644725","multiplyCuda","0","0"
"100000000","1.446","1.644725","multiplyCuda","0","0"
"100000000","1.446","1.644725","multiplyCuda","0","0"
"100000000","1.444","1.644725","multiplyCuda","0","0"
"100000000","1.446","1.644725","multiplyCuda","0","0"
"100000000","1.446","1.644725","multiplyCuda","0","0"
"100000000","1.446","1.644725","multiplyCuda","0","0"
"100000000","1.453","1.644725","multiplyCuda","0","0"
"100000000","1.467","1.644725","multiplyCuda","0","0"
"100000000","1.577","1.644725","multiplyCuda","0","0"
"100000000","1.483","1.644725","multiplyCuda","0","0"
"100000000","1.531","1.644725","multiplyCuda","0","0"
"100000000","1.443","1.644725","multiplyCuda","0","0"
"100000000","1.444","1.644725","multiplyCuda","0","0"
